epoch,phase,loss
38,train,0.0754965990781784
38,val,0.012453539296984673
39,train,0.010689683258533478
39,val,0.027451004832983017
40,train,0.015120098367333412
40,val,0.007750591728836298
41,train,0.006230511236935854
41,val,0.010983072221279144
42,train,0.016614127904176712
42,val,0.008172779344022274
43,train,0.009898068383336067
43,val,0.010602452792227268
44,train,0.009417644701898098
44,val,0.010673505254089832
45,train,0.01317684631794691
45,val,0.046482570469379425
46,train,0.0842360109090805
46,val,0.01340598613023758
47,train,0.010269556194543839
47,val,0.009950993582606316
48,train,0.018180085346102715
48,val,0.07342790067195892
49,train,0.011585688218474388
49,val,0.008519764058291912
