epoch,step,train_component_loss,train_cosmology_loss,train_loss,train_matter_loss,val_loss
0,9,5.16863489151001,4.350015163421631,19.937625885009766,6.501646041870117,
0,19,3.2854747772216797,3.664283037185669,15.021997451782227,4.857488632202148,
0,29,3.360438585281372,3.4606406688690186,14.869856834411621,4.864498138427734,
0,39,3.0753109455108643,3.1893703937530518,14.423389434814453,4.84818172454834,
0,49,3.4776294231414795,3.710010051727295,15.167780876159668,4.85947847366333,
0,59,2.8789315223693848,3.2970736026763916,14.408431053161621,4.835946083068848,
0,69,3.02384877204895,3.3296468257904053,14.540969848632812,4.849699020385742,
0,79,3.613934278488159,3.7215888500213623,15.230992317199707,4.851218223571777,
0,89,3.64796781539917,3.8811111450195312,15.469696044921875,4.88230037689209,
0,99,2.9936392307281494,3.2994322776794434,14.437827110290527,4.82078742980957,
0,109,3.471877098083496,3.8498635292053223,15.225358963012695,4.819777965545654,
0,119,3.144035816192627,3.392726182937622,14.611948013305664,4.823602199554443,
0,129,3.3081109523773193,3.536137104034424,14.895791053771973,4.852798938751221,
0,139,3.480856418609619,3.662579298019409,15.161555290222168,4.879273891448975,
0,140,,,,,14.924237251281738
1,149,3.392620086669922,3.5488390922546387,14.973804473876953,4.864327907562256,
1,159,3.3664679527282715,3.596015214920044,14.952350616455078,4.836550712585449,
1,169,2.932053804397583,3.403988838195801,14.6602783203125,4.8951311111450195,
1,179,3.3617053031921387,3.4926514625549316,14.889663696289062,4.858079433441162,
1,189,3.060028076171875,3.509939193725586,14.645318031311035,4.802682399749756,
1,199,3.4098031520843506,3.7873740196228027,15.095662117004395,4.801693439483643,
1,209,3.3222031593322754,3.658452272415161,15.015929222106934,4.8481879234313965,
1,219,3.0073392391204834,3.347935438156128,14.551983833312988,4.850189208984375,
1,229,3.1096129417419434,3.5119926929473877,14.826990127563477,4.880095481872559,
1,239,3.0227017402648926,3.4059343338012695,14.798185348510742,4.940450191497803,
1,249,3.441971778869629,3.5175538063049316,15.098386764526367,4.929924011230469,
1,259,3.384660243988037,3.5674140453338623,14.986368179321289,4.863311767578125,
1,269,3.298229694366455,3.5383574962615967,15.062097549438477,4.937312602996826,
1,279,3.3609983921051025,3.4571800231933594,14.918163299560547,4.890242099761963,
1,281,,,,,14.938130378723145
2,289,3.1549534797668457,3.3294124603271484,14.57921314239502,4.836162090301514,
2,299,3.1481730937957764,3.3706226348876953,14.820457458496094,4.9378743171691895,
2,309,3.2958614826202393,3.4652628898620605,14.678616523742676,4.782711029052734,
2,319,3.4964241981506348,3.5726213455200195,14.956229209899902,4.817698001861572,
2,329,3.212413787841797,3.503054618835449,14.994328498840332,4.942533493041992,
2,339,3.170015811920166,3.496356964111328,14.652128219604492,4.78538179397583,
2,349,2.9209086894989014,3.213869333267212,14.260769844055176,4.7932233810424805,
2,359,3.2039012908935547,3.364701509475708,14.720117568969727,4.87673282623291,
2,369,2.9612224102020264,3.0451154708862305,14.277607917785645,4.875940799713135,
2,379,3.3865532875061035,3.545562982559204,15.031042098999023,4.896101474761963,
2,389,3.0223898887634277,3.5366463661193848,14.66010570526123,4.806131839752197,
2,399,3.375279426574707,3.6245594024658203,15.247831344604492,4.967816352844238,
2,409,2.8195385932922363,3.1988601684570312,14.283854484558105,4.837612628936768,
2,419,3.3054914474487305,3.6205785274505615,14.809812545776367,4.76824426651001,
2,422,,,,,15.163887023925781
3,429,3.628203868865967,3.62884259223938,15.24145793914795,4.899256706237793,
3,439,3.6169896125793457,3.9439735412597656,15.448534965515137,4.848033428192139,
3,449,3.138688564300537,3.4334089756011963,14.707464218139648,4.852355480194092,
3,459,3.3888933658599854,3.4502744674682617,14.798822402954102,4.827050685882568,
3,469,3.3029472827911377,3.495084524154663,15.074300765991211,4.963871002197266,
3,479,3.42173171043396,3.6462433338165283,15.090896606445312,4.866893768310547,
3,489,3.477356195449829,3.6460604667663574,14.998594284057617,4.8069281578063965,
3,499,2.9562480449676514,3.377265691757202,14.363539695739746,4.754075050354004,
3,509,3.4193384647369385,3.4412829875946045,14.655167579650879,4.752107620239258,
3,519,3.3301098346710205,3.6814045906066895,15.021439552307129,4.837490081787109,
3,529,2.712283134460449,3.217623710632324,14.243322372436523,4.834778308868408,
3,539,3.362020254135132,3.6908040046691895,15.125720024108887,4.876952648162842,
3,549,3.6159863471984863,3.751983404159546,15.280557632446289,4.86029052734375,
3,559,3.0146560668945312,3.3994035720825195,14.465118408203125,4.77919340133667,
3,563,,,,,15.097936630249023
4,569,3.292181968688965,3.6186587810516357,14.716043472290039,4.72564697265625,
4,579,3.034529447555542,3.237030506134033,14.392048835754395,4.818877220153809,
4,589,2.963440418243408,3.317039728164673,14.423239707946777,4.812240123748779,
4,599,3.195456027984619,3.5534298419952393,14.968571662902832,4.908707141876221,
4,609,3.003171920776367,3.186957597732544,14.3609619140625,4.836209297180176,
4,619,3.0638339519500732,3.134936809539795,14.389981269836426,4.8615641593933105,
4,629,3.79595947265625,3.829536199569702,15.358295440673828,4.815389633178711,
4,639,3.037524700164795,3.386455774307251,14.557665824890137,4.826223850250244,
4,649,2.8837099075317383,3.0574514865875244,14.112375259399414,4.806534290313721,
4,659,2.922971725463867,3.149934768676758,14.210278511047363,4.799428939819336,
4,669,3.097282886505127,3.6022427082061768,14.78503704071045,4.817076683044434,
4,679,2.4488253593444824,3.0209105014801025,13.70252799987793,4.728602409362793,
4,689,3.0155131816864014,3.1770918369293213,14.21703815460205,4.766095161437988,
4,699,3.358414649963379,3.65100359916687,14.955118179321289,4.812453269958496,
4,704,,,,,14.89279556274414
5,709,2.740464687347412,3.1947944164276123,14.197965621948242,4.816469192504883,
5,719,2.994497537612915,3.2283270359039307,14.37477970123291,4.824602127075195,
5,729,3.278048515319824,3.4775965213775635,14.803985595703125,4.843682289123535,
5,739,3.170116424560547,3.5379059314727783,14.770859718322754,4.823947906494141,
5,749,2.8704779148101807,3.2030911445617676,14.343985557556152,4.852828025817871,
5,759,3.033372402191162,3.330533266067505,14.431275367736816,4.792027950286865,
5,769,2.8010683059692383,3.1832525730133057,14.132627487182617,4.774420738220215,
